,link,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
8480,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-1-6-total-flex-8v-2019-placa-b-661399468,vwvolkswagen,39500,pickup,saveiro,manual,2019,42950,1.6,flex,hidráulica,branco,não,saveiro robust 1.6 total flex 8v,2 portas,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica",0
8481,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-13mil-km-756526458,vwvolkswagen,43900,vanutilitário,saveiro,manual,2019,13000,1.6,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som",0
8482,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-16-17-760755122,vwvolkswagen,32900,0.0,saveiro,manual,2017,60000,0.0,flex,0.0,0.0,0.0,saveiro robust 1.6 total flex 8v,0.0,ipva pago,0.0,0
8483,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-18-19-749999631,vwvolkswagen,39000,pickup,saveiro,manual,2019,31100,1.6,flex,hidráulica,branco,não,saveiro robust 1.6 total flex 8v,2 portas,0.0,0.0,0
8484,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2017-738021452,vwvolkswagen,36000,pickup,saveiro,manual,2017,94000,1.6,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
8485,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2017-759460148,vwvolkswagen,35700,pickup,saveiro,manual,2017,67500,0.0,flex,hidráulica,branco,0.0,saveiro robust 1.6 total flex 8v,0.0,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8486,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2017-760812624,vwvolkswagen,32500,vanutilitário,saveiro,manual,2017,70000,1.6,flex,hidráulica,branco,0.0,saveiro robust 1.6 total flex 8v,0.0,ipva pago,"vidro elétrico, air bag, ar condicionado, direção hidráulica, som",0
8487,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2018-1-6-flex-748452930,vwvolkswagen,46500,passeio,saveiro,manual,2018,38000,1.6,flex,0.0,branco,0.0,saveiro robust 1.6 total flex 8v,0.0,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme",0
8488,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2018-19-757119088,vwvolkswagen,42500,pickup,saveiro,manual,2019,50500,1.6,flex,hidráulica,branco,não,saveiro robust 1.6 total flex 8v,2 portas,financiado,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
8489,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2018-19-completa-758319269,vwvolkswagen,40000,0.0,saveiro,manual,2019,25265,0.0,flex,0.0,branco,0.0,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som",0
